,GENRE_Action,GENRE_Animation,GENRE_Comedy,GENRE_Crime,GENRE_Drama,GENRE_Others
0,1,0,0,0,0,0
1,1,1,0,0,0,0
2,0,0,0,0,1,0
3,0,1,1,0,0,0
5,1,0,0,1,1,0
6,0,0,0,0,1,0
7,0,0,0,1,1,0
8,0,0,1,0,0,0
9,0,0,0,0,1,0
10,1,0,0,0,0,0
11,0,0,0,1,1,0
12,0,0,0,0,1,0
14,0,0,0,0,1,0
15,0,0,0,0,1,0
16,0,0,0,1,1,0
17,0,0,0,0,1,0
18,0,0,1,0,1,0
19,0,0,0,0,1,0
20,0,0,0,0,1,0
21,0,0,1,0,0,0
22,1,0,0,0,1,0
23,0,0,0,1,1,0
25,0,0,0,0,1,0
26,1,0,0,0,1,0
27,0,0,0,1,1,0
28,0,0,0,0,1,0
29,0,0,0,1,1,0
30,0,0,0,0,0,1
31,0,0,0,1,1,0
32,0,0,1,1,0,0
33,1,0,0,1,1,0
34,1,0,0,0,1,0
35,0,0,1,0,1,0
36,1,0,0,1,0,0
37,1,0,0,0,0,0
38,0,0,0,0,1,0
39,1,1,0,0,0,0
40,0,0,1,0,1,0
41,1,0,0,1,0,0
42,0,0,1,0,0,0
43,0,0,0,0,1,0
44,1,0,0,0,1,0
45,0,0,0,0,1,0
46,0,0,0,1,1,0
47,0,0,0,0,1,0
49,1,0,0,1,0,0
50,0,0,0,1,1,0
51,0,0,1,0,0,0
52,0,0,1,0,0,0
53,0,0,0,1,1,0
54,0,0,0,1,0,0
55,0,0,0,0,1,0
56,0,0,0,0,1,0
57,0,0,1,1,1,0
58,0,0,1,1,1,0
59,0,0,0,0,1,0
60,0,0,0,0,1,0
61,1,0,0,0,1,0
62,1,0,0,0,0,0
63,1,0,1,0,0,0
64,0,0,1,0,0,0
65,0,0,0,1,1,0
66,0,0,0,0,1,0
67,0,0,0,0,1,0
68,0,0,0,1,1,0
69,0,0,0,0,1,0
70,0,0,1,0,0,0
71,1,0,0,1,1,0
72,0,0,1,0,1,0
73,0,0,0,0,1,0
74,0,0,1,0,1,0
75,0,0,0,0,1,0
77,1,0,1,1,0,0
78,0,0,0,0,1,0
79,0,0,0,1,1,0
80,0,0,1,0,1,0
81,1,0,0,1,0,0
